meter_reading_id,customer_id,meter_number,read_timestamp,meter_reading,year,month,day,hour
1201,1,MTR000001,2024-01-01 12:00:00,1020.48,2024,1,1,12
1202,2,MTR000002,2024-01-01 12:00:00,1014.75,2024,1,1,12
1203,3,MTR000003,2024-01-01 12:00:00,1022.95,2024,1,1,12
1204,4,MTR000004,2024-01-01 12:00:00,1019.69,2024,1,1,12
1205,5,MTR000005,2024-01-01 12:00:00,1020.75,2024,1,1,12
1206,6,MTR000006,2024-01-01 12:00:00,1017.45,2024,1,1,12
1207,7,MTR000007,2024-01-01 12:00:00,1022.85,2024,1,1,12
1208,8,MTR000008,2024-01-01 12:00:00,1017.7,2024,1,1,12
1209,9,MTR000009,2024-01-01 12:00:00,1017.26,2024,1,1,12
1210,10,MTR000010,2024-01-01 12:00:00,1020.94,2024,1,1,12
1211,11,MTR000011,2024-01-01 12:00:00,1020.56,2024,1,1,12
1212,12,MTR000012,2024-01-01 12:00:00,1021.48,2024,1,1,12
1213,13,MTR000013,2024-01-01 12:00:00,1019.26,2024,1,1,12
1214,14,MTR000014,2024-01-01 12:00:00,1023.06,2024,1,1,12
1215,15,MTR000015,2024-01-01 12:00:00,1020.58,2024,1,1,12
1216,16,MTR000016,2024-01-01 12:00:00,1017.44,2024,1,1,12
1217,17,MTR000017,2024-01-01 12:00:00,1017.39,2024,1,1,12
1218,18,MTR000018,2024-01-01 12:00:00,1024.33,2024,1,1,12
1219,19,MTR000019,2024-01-01 12:00:00,1020.39,2024,1,1,12
1220,20,MTR000020,2024-01-01 12:00:00,1020.04,2024,1,1,12
1221,21,MTR000021,2024-01-01 12:00:00,1019.74,2024,1,1,12
1222,22,MTR000022,2024-01-01 12:00:00,1017.93,2024,1,1,12
1223,23,MTR000023,2024-01-01 12:00:00,1021.14,2024,1,1,12
1224,24,MTR000024,2024-01-01 12:00:00,1017.78,2024,1,1,12
1225,25,MTR000025,2024-01-01 12:00:00,1016.75,2024,1,1,12
1226,26,MTR000026,2024-01-01 12:00:00,1021.06,2024,1,1,12
1227,27,MTR000027,2024-01-01 12:00:00,1021.26,2024,1,1,12
1228,28,MTR000028,2024-01-01 12:00:00,1022.4,2024,1,1,12
1229,29,MTR000029,2024-01-01 12:00:00,1026.57,2024,1,1,12
1230,30,MTR000030,2024-01-01 12:00:00,1021.86,2024,1,1,12
1231,31,MTR000031,2024-01-01 12:00:00,1020.66,2024,1,1,12
1232,32,MTR000032,2024-01-01 12:00:00,1017.21,2024,1,1,12
1233,33,MTR000033,2024-01-01 12:00:00,1018.01,2024,1,1,12
1234,34,MTR000034,2024-01-01 12:00:00,1016.58,2024,1,1,12
1235,35,MTR000035,2024-01-01 12:00:00,1020.36,2024,1,1,12
1236,36,MTR000036,2024-01-01 12:00:00,1017.61,2024,1,1,12
1237,37,MTR000037,2024-01-01 12:00:00,1017.36,2024,1,1,12
1238,38,MTR000038,2024-01-01 12:00:00,1019.24,2024,1,1,12
1239,39,MTR000039,2024-01-01 12:00:00,1019.16,2024,1,1,12
1240,40,MTR000040,2024-01-01 12:00:00,1014.33,2024,1,1,12
1241,41,MTR000041,2024-01-01 12:00:00,1019.83,2024,1,1,12
1242,42,MTR000042,2024-01-01 12:00:00,1018.08,2024,1,1,12
1243,43,MTR000043,2024-01-01 12:00:00,1018.07,2024,1,1,12
1244,44,MTR000044,2024-01-01 12:00:00,1023.45,2024,1,1,12
1245,45,MTR000045,2024-01-01 12:00:00,1018.24,2024,1,1,12
1246,46,MTR000046,2024-01-01 12:00:00,1021.79,2024,1,1,12
1247,47,MTR000047,2024-01-01 12:00:00,1017.76,2024,1,1,12
1248,48,MTR000048,2024-01-01 12:00:00,1016.76,2024,1,1,12
1249,49,MTR000049,2024-01-01 12:00:00,1021.81,2024,1,1,12
1250,50,MTR000050,2024-01-01 12:00:00,1023.43,2024,1,1,12
1251,51,MTR000051,2024-01-01 12:00:00,1018.78,2024,1,1,12
1252,52,MTR000052,2024-01-01 12:00:00,1017.35,2024,1,1,12
1253,53,MTR000053,2024-01-01 12:00:00,1017.75,2024,1,1,12
1254,54,MTR000054,2024-01-01 12:00:00,1019.86,2024,1,1,12
1255,55,MTR000055,2024-01-01 12:00:00,1019.85,2024,1,1,12
1256,56,MTR000056,2024-01-01 12:00:00,1020.46,2024,1,1,12
1257,57,MTR000057,2024-01-01 12:00:00,1019.48,2024,1,1,12
1258,58,MTR000058,2024-01-01 12:00:00,1022.21,2024,1,1,12
1259,59,MTR000059,2024-01-01 12:00:00,1019.13,2024,1,1,12
1260,60,MTR000060,2024-01-01 12:00:00,1014.66,2024,1,1,12
1261,61,MTR000061,2024-01-01 12:00:00,1021.54,2024,1,1,12
1262,62,MTR000062,2024-01-01 12:00:00,1017.61,2024,1,1,12
1263,63,MTR000063,2024-01-01 12:00:00,1022.83,2024,1,1,12
1264,64,MTR000064,2024-01-01 12:00:00,1024.6,2024,1,1,12
1265,65,MTR000065,2024-01-01 12:00:00,1016.76,2024,1,1,12
1266,66,MTR000066,2024-01-01 12:00:00,1023.5,2024,1,1,12
1267,67,MTR000067,2024-01-01 12:00:00,1019.02,2024,1,1,12
1268,68,MTR000068,2024-01-01 12:00:00,1016.66,2024,1,1,12
1269,69,MTR000069,2024-01-01 12:00:00,1016.47,2024,1,1,12
1270,70,MTR000070,2024-01-01 12:00:00,1015.1,2024,1,1,12
1271,71,MTR000071,2024-01-01 12:00:00,1026.56,2024,1,1,12
1272,72,MTR000072,2024-01-01 12:00:00,1020.76,2024,1,1,12
1273,73,MTR000073,2024-01-01 12:00:00,1019.98,2024,1,1,12
1274,74,MTR000074,2024-01-01 12:00:00,1021.26,2024,1,1,12
1275,75,MTR000075,2024-01-01 12:00:00,1014.55,2024,1,1,12
1276,76,MTR000076,2024-01-01 12:00:00,1019.72,2024,1,1,12
1277,77,MTR000077,2024-01-01 12:00:00,1021.22,2024,1,1,12
1278,78,MTR000078,2024-01-01 12:00:00,1016.95,2024,1,1,12
1279,79,MTR000079,2024-01-01 12:00:00,1023.56,2024,1,1,12
1280,80,MTR000080,2024-01-01 12:00:00,1022.79,2024,1,1,12
1281,81,MTR000081,2024-01-01 12:00:00,1017.82,2024,1,1,12
1282,82,MTR000082,2024-01-01 12:00:00,1014.97,2024,1,1,12
1283,83,MTR000083,2024-01-01 12:00:00,1023.79,2024,1,1,12
1284,84,MTR000084,2024-01-01 12:00:00,1016.55,2024,1,1,12
1285,85,MTR000085,2024-01-01 12:00:00,1020.44,2024,1,1,12
1286,86,MTR000086,2024-01-01 12:00:00,1018.21,2024,1,1,12
1287,87,MTR000087,2024-01-01 12:00:00,1023.04,2024,1,1,12
1288,88,MTR000088,2024-01-01 12:00:00,1019.94,2024,1,1,12
1289,89,MTR000089,2024-01-01 12:00:00,1012.72,2024,1,1,12
1290,90,MTR000090,2024-01-01 12:00:00,1021.21,2024,1,1,12
1291,91,MTR000091,2024-01-01 12:00:00,1022.36,2024,1,1,12
1292,92,MTR000092,2024-01-01 12:00:00,1020.83,2024,1,1,12
1293,93,MTR000093,2024-01-01 12:00:00,1023.25,2024,1,1,12
1294,94,MTR000094,2024-01-01 12:00:00,1021.99,2024,1,1,12
1295,95,MTR000095,2024-01-01 12:00:00,1019.97,2024,1,1,12
1296,96,MTR000096,2024-01-01 12:00:00,1021.33,2024,1,1,12
1297,97,MTR000097,2024-01-01 12:00:00,1019.61,2024,1,1,12
1298,98,MTR000098,2024-01-01 12:00:00,1020.04,2024,1,1,12
1299,99,MTR000099,2024-01-01 12:00:00,1024.68,2024,1,1,12
1300,100,MTR000100,2024-01-01 12:00:00,1022.91,2024,1,1,12
